* 
	5	ANALOG	0	0	1	3	4	5	10	24	42	77,0	77,1	77,2	77,3	77,4	78,0	78,1	78,2	78,3	78,4	91,1	91,2	91,3	91,4	91,5	66
*record  OrderNo  Type  Key  Name  Stn  AOR  pScale EU_Hi AlarmGrp   Nom.HiLim:77,0  77,1  77,2  77,3  Rsnblty77,4  Nom.LoLim78,0  78,1  78,2  78,3  Rsnblty78,4  NomPairInactive91,1  91,2  91,3  91,4  91,5  ICAddress
	26	26	2	"04012003"	"LA RCV1     LA TX1 REG C VOLTS"	012	4  	204.7	1	127.5  	0	0	0	150  	0	118.5  	0	0	-10  	0.0	0.0	0.0	1.0	1.0	NaN
	27	27	2	"04012004"	"LA TX1A     LA TX1 LS A AMPS"	012	4  	1637.6	1	800  	0	0	0	850  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	28	28	2	"04012005"	"LA TX1B     LA TX1 LS B AMPS"	012	4  	1637.6	1	800  	0	0	0	850  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	29	29	2	"04012006"	"LA TX1C     LA TX1 LS C AMPS"	012	4  	1637.6	1	800  	0	0	0	850  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	30	30	2	"04012007"	"LA TX1W     LA TX1 WATTS"	012	4  	65504.0	1	29000  	0	0	0	33000  	0	-500  	0	0	-1000  	0.0	0.0	0.0	1.0	1.0	NaN
	31	31	2	"04012008"	"LA PF1M     LA TX1 POWER FACTOR"	012	4  	204.7	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	32	32	2	"04012009"	"LA TX1FRQ   LA TX1 FREQUENCY"	012	4  	204.7	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	33	33	2	"04012010"	"LA KVA1M    LA TX1 KVA METER"	012	4  	65504.0	1	  	0	0	0	999999	-99995	0	0	0	-999999	0.0	0.0	0.0	1.0	1.0	NaN
	34	34	2	"04012011"	"LA MV1      LA TX1 VARS LAG"	012	4  	65504.0	1	4000  	0	0	0	5400  	-99995	  	0	0	  	0.0	0.0	0.0	1.0	1.0	NaN
	35	35	2	"04012012"	"LA MV1-     LA TX1 VARS LEAD"	012	4  	65504.0	1	4000  	0	0	0	5400  	-99995	  	0	0	  	0.0	0.0	0.0	1.0	1.0	NaN
	36	36	2	"04012013"	"LA DCV      LA DC VOLTS"	012	4  	149.9836	1	137  	0	0	0	143  	0	126.5  	0	0	-10  	0.0	0.0	0.0	1.0	1.0	NaN
	37	37	2	"04012014"	"LA 1A       LA BRK 1 A AMPS BKR TRIP"	012	4  	600.0126	1	380  	0	0	0	480  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	38	38	2	"04012015"	"LA 1B       LA BRK 1 B AMPS BKR TRIP"	012	4  	600.0126	1	380  	0	0	0	480  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	39	39	2	"04012016"	"LA 1C       LA BRK 1 C AMPS BKR TRIP"	012	4  	600.0126	1	380  	0	0	0	480  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	40	40	2	"04012017"	"LA 2A       LA BRK 2 A AMPS BKR TRIP"	012	4  	600.0126	1	500  	0	0	0	600  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	41	41	2	"04012018"	"LA 2B       LA BRK 2 B AMPS BKR TRIP"	012	4  	600.0126	1	500  	0	0	0	600  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	42	42	2	"04012019"	"LA 2C       LA BRK 2 C AMPS BKR TRIP"	012	4  	600.0126	1	500  	0	0	0	600  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	43	43	2	"04012020"	"LA 3A       LA BRK 3 A AMPS BKR TRIP"	012	4  	600.0126	1	500  	0	0	0	600  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	44	44	2	"04012021"	"LA 3B       LA BRK 3 B AMPS BKR TRIP"	012	4  	600.0126	1	500  	0	0	0	600  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	45	45	2	"04012022"	"LA 3C       LA BRK 3 C AMPS BKR TRIP"	012	4  	600.0126	1	500  	0	0	0	600  	0	-20  	0	0	-30  	0.0	0.0	0.0	1.0	1.0	NaN
	46	46	2	"04012023"	"LA LTC1     LA LTC1 TAP POS"	012	4  	15.9666	1	15  	0	0	0	16.5  	0	-16  	0	0	-16.5  	0.0	0.0	0.0	1.0	1.0	NaN
