*         Type  Key          Name                                          Stn   AOR                HiLim[0](High)   HiLim[1](Rsnblty)  LoLim[0](Low)   LoLim[1](Rsnblty)  AlarmGroup   pScale(EU_Hi)  ICAddress
*         ----  ---          ----                                          ---   ---                --------------   -----------------  -------------   -----------------  ----------   -------------  ---------
5 ANALOG  (1)   (3)          (4)                                           (5)   (10)               (77,0)           (77,4)             (78,0)          (78,4)             (42)         (24)           (66)
          2     "04nan034"   "LA 2A       LA BRK 2 A AMPS BKR TRIP     "   nan   4                  999998           600                -999998         -30                1            600.0126       NaN                 
          2     "04nan035"   "LA 2B       LA BRK 2 B AMPS BKR TRIP     "   nan   4                  999998           600                -999998         -30                1            600.0126       NaN                 
          2     "04nan036"   "LA 2C       LA BRK 2 C AMPS BKR TRIP     "   nan   4                  999998           600                -999998         -30                1            600.0126       NaN                 
          2     "04nan037"   "LA 3A       LA BRK 3 A AMPS BKR TRIP     "   nan   4                  999998           600                -999998         -30                1            600.0126       NaN                 
          2     "04nan038"   "LA 3B       LA BRK 3 B AMPS BKR TRIP     "   nan   4                  999998           600                -999998         -30                1            600.0126       NaN                 
          2     "04nan039"   "LA 3C       LA BRK 3 C AMPS BKR TRIP     "   nan   4                  999998           600                -999998         -30                1            600.0126       NaN                 
          2     "04nan040"   "LA LTC1     LA LTC1 TAP POS              "   nan   4                  999998           16                 -999998         -16                1            15.9666        NaN                 
          1     "03nan007"   "LA CALI     LAKE ASBURY CALI DEMAND      "   nan   4                  0                999999             0               -999999            1            1              NaN                 
          1     "03nan008"   "LA CDY      LA CUR DAY DEMAND            "   nan   4                  0                999999             0               -999999            1            1              NaN                 
          1     "03nan009"   "LA CHR      LA CUR HOUR DEMAND           "   nan   4                  0                999999             0               -999999            1            1              NaN                 
          1     "03nan010"   "LA CMT      LA CUR MONTH DEMAND          "   nan   4                  0                999999             0               -999999            1            1              NaN                 
          1     "03nan011"   "LA MUL      LAKE ASBURY MULTIPLIER       "   nan   4                  0                999999             0               -999999            1            1              NaN                 
          2     "04nan041"   "LA P1       LAKE PULSE ACCUMULATOR 1     "   nan   4                  999998           999999             1               -4                 1            4.8            NaN                 
          1     "03nan012"   "LA PDY      LA PREV DAY DEMAND           "   nan   4                  0                999999             0               -999999            1            1              NaN                 
          1     "03nan013"   "LA PFAVG    LA POWER FACTOR AVG          "   nan   4                  0                999999             0               -999999            1            1              NaN                 
          1     "03nan014"   "LA PHR      LA PREVIOUS H0UR DEMAND      "   nan   4                  0                999999             0               -999999            1            1              NaN                 
          1     "03nan015"   "LA PMT      LA PREV MONTH DEMAND         "   nan   4                  0                999999             0               -999999            1            1              NaN                 
          1     "03nan016"   "LA SOEPT                                 "   nan   1 2 3 4 5 6 7 8    0                999999             0               -999999            1            1              NaN                 
          1     "03nan017"   "LA STAGE    LA REGULATOR STAGE           "   nan   1 2 3 4 5 6 7 8    0                999999             0               -999999            1            1              NaN                 
          2     "04nan042"   "DI TX1TMP   DI TX1 TANK OIL TEMP         "   nan   3                  999998           150                -999998         -300               1            1              NaN                 
          2     "04nan043"   "WH 2KW      WH FDR 2 WATTS               "   nan   5                  0                999999             0               -999999            1            20470          NaN                 
          2     "04nan044"   "RV RBV2     TX2 REG B VOLT               "   nan   6                  999998           150                -999998         -10                1            204.7          NaN                 
          2     "04nan045"   "BW KWPHR1   BW PTX1 KW PREV HOUR         "   nan   3                  0                999999             0               -999999            1            196512         NaN                 
          2     "04nan046"   "WB 6144W    WB W6144 WATTS               "   nan   3                  999998           20000              -999998         -1000              1            100000         NaN                 
          2     "04nan047"   "SN KWPHR1   SN TX1 KW PREV HR            "   nan   3                  0                999999             0               -999999            1            196512         NaN                 
          2     "04nan048"   "BN KWPHR1   BN TX1 KW PREV HR (KWH)      "   nan   3                  0                999999             0               -999999            1            147384         NaN                 
          2     "04nan049"   "FL KWPHR1   FL TX1 PREV HOUR             "   nan   3                  0                999999             0               -999999            1            196512         NaN                 
          2     "04nan050"   "WH 2C       WH BKR 2C AMPS               "   nan   5                  999998           550                -999998         -30                1            600.0001       NaN                 
          2     "04nan051"   "MI T2HST2   MI TX2 WINDING 2 TEMP        "   nan   3                  0                999999             0               -999999            1            1              NaN                 
          2     "04nan052"   "MI TX2ABT   MI TX2AMBIENT TEMP           "   nan   3                  0                999999             0               -999999            1            1              NaN                 
          2     "04nan053"   "LC W6205B   TU W6205 B PHASE AMPS        "   nan   3                  999998           600                -999998         -30                1            1              NaN                 
          1     "03nan018"   "RD STAGE2   REGULATOR STAGE #2           "   nan   1 2 3 4 5 6 7 8    0                999999             0               -999999            1            1              NaN                 
          1     "03nan019"   "SPR RBTAP2   SA REG B TAP CHGR POS       "   nan   6                  999998           16                 -999998         -16                1            15.9922        NaN                 
          2     "04nan054"   "MI 5A       MI BKR 5 A AMPS              "   nan   3                  999998           480                -999998         -30                1            600.0003       NaN                 
          2     "04nan055"   "MI 5B       MI BKR 5 B AMPS              "   nan   3                  999998           480                -999998         -30                1            600.0003       NaN                 
          2     "04nan056"   "MI 5C       MI BKR 5 C AMPS              "   nan   3                  999998           480                -999998         -30                1            600.0003       NaN                 
          1     "03nan020"   "RV CALI2    RV TX2 CALC DEMAND           "   nan   6                  0                999999             0               -999999            1            1              NaN                 
          1     "03nan021"   "MX 2TOT     BRK 2 AMP TOTAL              "   nan   1 2 3 4 5 6 7 8    0                999999             0               -999999            1            1              NaN                 
          1     "03nan022"   "MX 3TOT     BRK 3 AMP TOTAL              "   nan   1 2 3 4 5 6 7 8    0                999999             0               -999999            1            1              NaN                 
          2     "04nan057"   "MX AV1      MX TX1 A PH BUS VOLTS        "   nan   3                  999998           145                -999998         110                1            204.7          NaN                 
          2     "04nan058"   "MX BV1      MX TX1 B PH BUS VOLTS        "   nan   3                  999998           145                -999998         110                1            204.7          NaN                 
          2     "04nan059"   "MX CV1      MX TX1 C PH BUS VOLTS        "   nan   3                  999998           145                -999998         110                1            204.7          NaN                 
          2     "04nan060"   "MI 4KW      MI BKR 4 WATTS               "   nan   3                  0                999999             0               -999999            1            20470          NaN                 
          2     "04nan061"   "PH RATAP    REG A TAP CHGR POS           "   nan   5                  999998           16                 -999998         -16                1            15.9922        NaN                 
          2     "04nan062"   "MI 3A       MI BKR 3A AMPS               "   nan   3                  999998           480                -999998         -30                1            600.0003       NaN                 
          2     "04nan063"   "MI 3B       MI BKR 3B AMPS               "   nan   3                  999998           480                -999998         -30                1            600.0003       NaN                 
          2     "04nan064"   "MI 4A       MI BKR 4 A AMPS              "   nan   3                  999998           480                -999998         -30                1            600.0003       NaN                 
          2     "04nan065"   "MI 4B       MI BKR 4 B AMPS              "   nan   3                  999998           480                -999998         -30                1            600.0003       NaN                 
          2     "04nan066"   "MI 4C       MI BKR 4 C AMPS              "   nan   3                  999998           480                -999998         -30                1            600.0003       NaN                 
